panel_or_contrast,outcome,metric,horizon,lower,upper,valid_replicates,undefined_replicates,interpretation
delta_lab_minus_clinical,chronic_liver,brier,15,-1.2234136711496761e-05,4.508096251211403e-06,1000,0,conditional_fixed_models
delta_lab_minus_clinical,chronic_liver,auc,15,-0.25885036167707254,0.34235415550013426,996,4,defined_draws_only_not_nominal_95pct
delta_lab_minus_clinical,chronic_liver,mean_bias_pp,15,-0.020441650847641657,0.006003927260914939,1000,0,conditional_fixed_models
delta_lab_minus_clinical,lung_cancer,brier,15,-5.983039691117406e-05,1.1981499258164683e-05,1000,0,conditional_fixed_models
delta_lab_minus_clinical,lung_cancer,auc,15,-0.04027614150155421,0.02436425961982889,1000,0,conditional_fixed_models
delta_lab_minus_clinical,lung_cancer,mean_bias_pp,15,-0.008096148712933895,0.017863521482440543,1000,0,conditional_fixed_models
delta_lab_minus_clinical,colorectal_cancer,brier,15,-1.036812702164343e-05,1.5737820948637214e-05,1000,0,conditional_fixed_models
delta_lab_minus_clinical,colorectal_cancer,auc,15,-0.08352420276536075,0.023459012362890865,1000,0,conditional_fixed_models
delta_lab_minus_clinical,colorectal_cancer,mean_bias_pp,15,0.00019289955554759256,0.018654168536672754,1000,0,conditional_fixed_models
delta_lab_minus_clinical,pancreatic_cancer,brier,15,-3.7297864736022093e-06,2.969651562576348e-05,1000,0,conditional_fixed_models
delta_lab_minus_clinical,pancreatic_cancer,auc,15,-0.05727316240561384,0.0749008504830794,1000,0,conditional_fixed_models
delta_lab_minus_clinical,pancreatic_cancer,mean_bias_pp,15,-0.002399530435020858,0.009226846997147362,1000,0,conditional_fixed_models
delta_lab_minus_clinical,breast_cancer,brier,15,5.541910739779352e-07,3.955751141397061e-05,1000,0,conditional_fixed_models
delta_lab_minus_clinical,breast_cancer,auc,15,-0.011620951103828669,0.03993172673818702,1000,0,conditional_fixed_models
delta_lab_minus_clinical,breast_cancer,mean_bias_pp,15,-0.0044232105198637435,0.02430956562473848,1000,0,conditional_fixed_models
delta_lab_minus_clinical,prostate_cancer,brier,15,-4.4457080070181826e-05,1.5896829414511974e-05,1000,0,conditional_fixed_models
