study,subgroup,panel,horizon,n,outcome,brier,auc,observed,predicted,observed_expected,mean_bias_pp,events
primary,age25_49,clinical,15,1731,external,0.008601938533572825,0.538370726654568,0.00866171490186397,0.006262177271954605,1.3831794479303203,-0.23995376299093646,19.0
primary,age25_49,clinical,15,1731,other_or_unresolved,0.0096089367179481,0.8283371439184503,0.009856775478842261,0.014772100197656877,0.6672562023648962,0.4915324718814616,24.0
primary,age50_64,clinical,15,631,multistate,0.39934417278106127,,,,,,
primary,age50_64,clinical,15,631,all_cause,0.16846884102021398,0.6909956377142976,0.2431176068143807,0.27644536526381003,0.8794417898175834,3.332775844942934,160.0
primary,age50_64,clinical,15,631,ihd,0.07033991859221035,0.679605909645593,0.07815811087810941,0.08028102445926076,0.9735564712153288,0.21229135811513533,54.0
primary,age50_64,clinical,15,631,heart_failure,3.803746090963945e-05,,0.0,0.005559429063064537,0.0,0.5559429063064537,0.0
primary,age50_64,clinical,15,631,stroke,0.009500145849513827,0.7507507424150867,0.009555892677262146,0.016291426720852258,0.586559596099159,0.6735534043590112,8.0
primary,age50_64,clinical,15,631,hypertension,0.0023181664945304712,0.9142301891973982,0.0023494539141583107,0.005612392403059705,0.41861896771107093,0.32629384889013946,3.0
primary,age50_64,clinical,15,631,aortic_aneurysm,0.0046293811672291785,0.8328659014256402,0.004651523239084447,0.001291754581109495,3.6009341922280846,-0.33597686579749525,2.0
primary,age50_64,clinical,15,631,chronic_respiratory,0.013459154145692306,0.7789507614525243,0.013956563054401924,0.015291819122701764,0.9126816726260149,0.13352560682998396,7.0
primary,age50_64,clinical,15,631,dementia,0.002578431298019686,0.9164527118021013,0.002598268309499553,0.0028507143040412642,0.9114446529475663,0.025244599454171117,1.0
primary,age50_64,clinical,15,631,diabetes,0.009174925039039192,0.6861503858477932,0.009317699072900433,0.0042940890631360034,2.169889570500816,-0.5023610009764429,6.0
primary,age50_64,clinical,15,631,renal,7.730928334778331e-06,,0.0,0.002170688119954143,0.0,0.2170688119954143,0.0
